date,request,Lended_Amount,Repaid_Amount,Locked_Amount
2021-06-18,276,518184.9799999999,206712.24599999998,311472.73399999994
2021-06-19,168,269801.7299999999,88672.935,181128.79499999993
2021-06-20,117,186712.01999999996,54036.645000000004,132675.37499999994
2021-06-21,302,502972.90999999986,142756.00299999997,360216.9069999999
2021-06-22,224,340410.45999999985,139447.841,200962.61899999986
2021-06-23,253,419389.3099999999,136867.44499999998,282521.8649999999
2021-06-24,220,414166.2099999998,133664.55700000003,280501.65299999976
2021-06-25,252,390632.27999999997,136659.575,253972.70499999996
2021-06-26,140,227022.7899999999,100037.626,126985.16399999989
2021-06-27,112,211615.68999999992,38963.353,172652.3369999999
2021-06-28,324,650608.84,157859.962,492748.87799999997
2021-06-29,307,595719.4600000003,188626.815,407092.6450000003
2021-06-30,263,446090.73999999993,204255.96100000004,241834.7789999999
2021-07-01,233,403507.4500000003,153811.51499999998,249695.93500000032
2021-07-02,247,416556.1299999999,146742.583,269813.5469999999
2021-07-03,132,248667.41000000003,62853.895000000004,185813.515
2021-07-04,95,162289.61000000007,37971.505000000005,124318.10500000007
2021-07-05,254,466032.58,148771.142,317261.438
2021-07-06,237,410859.7999999999,148928.338,261931.46199999988
2021-07-07,230,403916.86,159586.32299999997,244330.537
2021-07-08,263,471369.93999999994,176158.02099999998,295211.919
2021-07-09,237,404123.25999999983,148197.98500000002,255925.27499999982
2021-07-10,149,262931.63000000006,88133.552,174798.07800000007
2021-07-11,95,164601.35,41831.634000000005,122769.716
2021-07-12,260,476252.9599999999,163190.05299999999,313062.9069999999
2021-07-13,291,512385.5600000002,158591.34200000003,353794.2180000001
2021-07-14,233,431181.39000000025,177434.71200000003,253746.67800000022
2021-07-15,252,453784.7500000001,160088.37,293696.3800000001
2021-07-16,248,450389.7400000001,179504.28600000005,270885.454
2021-07-17,155,269489.6999999999,91153.205,178336.49499999988
2021-07-18,114,232455.74999999997,64415.16900000001,168040.58099999995
2021-07-19,284,505273.53999999963,180563.66900000008,324709.8709999996
2021-07-20,263,437524.5900000003,186349.865,251174.72500000033
2021-07-21,262,497785.38999999996,133073.2,364712.18999999994
2021-07-22,292,556083.2399999994,164377.785,391705.4549999994
2021-07-23,277,497391.6899999998,180787.81499999997,316603.8749999999
2021-07-24,145,245845.3099999999,71447.454,174397.8559999999
2021-07-25,110,209115.16999999998,36012.456999999995,173102.713
2021-07-26,343,679263.5900000003,210798.38000000003,468465.2100000003
2021-07-27,277,480504.06000000023,188655.506,291848.55400000024
2021-07-28,257,453350.2800000001,168802.41299999997,284547.8670000001
2021-07-29,299,594860.9300000002,232302.39499999996,362558.5350000002
2021-07-30,258,462496.8500000002,191893.013,270603.8370000002
2021-07-31,172,329743.8300000002,88440.885,241302.94500000018
2021-08-01,105,205701.88999999998,52836.615,152865.275
2021-08-02,286,538807.4800000001,166840.076,371967.4040000001
2021-08-03,258,487550.7599999997,215441.07000000004,272109.6899999997
2021-08-04,234,400561.6999999998,159866.369,240695.33099999977
2021-08-05,242,424033.1600000003,168955.26700000005,255077.89300000027
2021-08-06,200,347836.97999999986,109469.061,238367.91899999988
2021-08-07,140,234530.04,51530.557,182999.483
2021-08-08,89,163675.79000000004,55830.892,107844.89800000004
2021-08-09,291,564536.6700000002,200219.318,364317.3520000002
2021-08-10,279,508692.5800000001,161403.28100000002,347289.29900000006
2021-08-11,276,523970.77999999974,201553.02699999997,322417.7529999998
2021-08-12,224,396189.52999999997,183441.15399999998,212748.376
2021-08-13,240,424188.5799999998,136208.07200000001,287980.5079999998
2021-08-14,138,219309.94000000003,89661.104,129648.83600000002
