date,REJECT,APPLICANT,APPROVED,NTU,ACCEPT
2022-06-09,109,260,151,27,124
2022-06-10,104,246,142,21,121
2022-06-11,73,153,80,17,63
2022-06-12,73,114,41,12,29
2022-06-13,140,310,170,33,137
2022-06-14,95,230,135,20,115
2022-06-15,106,250,144,31,113
2022-06-16,120,266,146,39,107
2022-06-17,124,272,148,46,102
2022-06-18,71,133,62,16,46
2022-06-19,59,125,66,19,47
2022-06-20,141,337,196,50,146
2022-06-21,109,265,156,34,122
2022-06-22,160,295,135,22,113
2022-06-23,127,263,136,25,111
2022-06-24,117,261,144,35,109
2022-06-25,70,165,95,32,63
2022-06-26,69,115,46,15,31
2022-06-27,149,349,200,38,162
2022-06-28,131,292,161,41,120
2022-06-29,120,276,156,38,118
2022-06-30,138,281,143,43,100
2022-07-01,108,248,140,28,112
2022-07-02,63,130,67,15,52
2022-07-03,58,109,51,15,36
2022-07-04,94,219,125,28,97
2022-07-05,112,258,146,44,102
2022-07-06,91,225,134,27,107
2022-07-07,108,237,129,19,110
2022-07-08,94,240,146,29,117
2022-07-09,68,157,89,26,63
2022-07-10,65,110,45,19,26
2022-07-11,119,285,166,44,122
2022-07-12,97,241,144,34,110
2022-07-13,109,253,144,32,112
2022-07-14,88,221,133,27,106
2022-07-15,92,223,131,26,105
2022-07-16,72,149,77,21,56
2022-07-17,54,93,39,9,30
2022-07-18,113,266,153,29,124
2022-07-19,150,294,144,41,103
2022-07-20,164,313,149,25,124
2022-07-21,134,278,144,40,104
2022-07-22,130,277,147,32,115
2022-07-23,95,180,85,27,58
2022-07-24,47,90,43,17,26
2022-07-25,127,282,155,35,120
2022-07-26,158,284,126,27,99
2022-07-27,107,299,192,42,150
2022-07-28,117,266,149,32,117
2022-07-29,129,278,149,32,117
2022-07-30,78,169,91,22,69
2022-07-31,56,114,58,15,43
2022-08-01,113,267,154,30,124
2022-08-02,116,261,145,32,113
2022-08-03,90,246,156,40,116
2022-08-04,110,225,115,28,87
2022-08-05,99,233,134,35,99
2022-08-06,66,149,83,16,67
2022-08-07,60,103,43,16,27
2022-08-08,122,273,151,38,113
2022-08-09,118,254,136,26,110
2022-08-10,112,264,152,35,117
2022-08-11,111,234,123,23,100
2022-08-12,102,246,144,28,116
2022-08-13,61,132,71,21,50
2022-08-14,44,98,54,11,43
2022-08-15,122,281,159,37,122
2022-08-16,88,229,141,34,107
2022-08-17,158,307,149,38,111
2022-08-18,119,268,149,32,117
2022-08-19,105,252,147,30,117
2022-08-20,58,150,92,16,76
2022-08-21,71,118,47,14,33
2022-08-22,132,276,144,30,114
2022-08-23,144,275,131,29,102
2022-08-24,110,261,151,34,117
2022-08-25,118,254,136,41,95
2022-08-26,121,281,160,37,123
2022-08-27,60,150,90,29,61
2022-08-28,57,106,49,14,35
2022-08-29,112,292,180,45,135
2022-08-30,112,284,172,30,142
2022-08-31,97,255,158,27,131
2022-09-01,99,239,140,43,97
2022-09-02,98,245,147,35,112
2022-09-03,65,141,76,26,50
2022-09-04,55,103,48,9,39
2022-09-05,100,269,169,30,139
2022-09-06,75,162,87,24,63
2022-09-07,111,267,156,31,125
2022-09-08,100,248,148,28,120
2022-09-09,96,229,133,23,110
2022-09-10,65,150,85,30,55
2022-09-11,62,120,58,14,44
2022-09-12,125,261,136,22,114
2022-09-13,87,224,137,22,115
2022-09-14,134,273,139,30,109
2022-09-15,90,227,137,43,94
2022-09-16,86,231,145,31,114
2022-09-17,64,128,64,13,51
2022-09-18,69,118,49,12,37
2022-09-19,105,237,132,32,100
2022-09-20,115,255,140,38,102
2022-09-21,144,300,156,40,116
2022-09-22,88,165,77,25,52
2022-09-23,122,278,156,36,120
2022-09-24,89,167,78,18,60
2022-09-25,72,128,56,15,41
2022-09-26,119,305,186,36,150
2022-09-27,134,313,179,46,133
2022-09-28,105,221,116,21,95
2022-09-29,100,237,137,28,109
2022-09-30,87,245,158,33,125
2022-10-01,75,153,78,17,61
2022-10-02,38,80,42,12,30
2022-10-03,103,250,147,31,116
2022-10-04,70,213,143,33,110
2022-10-05,134,267,133,26,107
2022-10-06,90,215,125,24,101
2022-10-07,96,234,138,22,116
2022-10-08,65,132,67,9,58
2022-10-09,41,94,53,16,37
2022-10-10,121,267,146,23,123
2022-10-11,92,232,140,37,103
2022-10-12,115,262,147,38,109
2022-10-13,88,254,166,46,120
2022-10-14,86,225,139,35,104
2022-10-15,49,127,78,23,55
2022-10-16,56,104,48,11,37
2022-10-17,109,254,145,32,113
2022-10-18,116,255,139,32,107
2022-10-19,94,238,144,24,120
2022-10-20,114,256,142,31,111
2022-10-21,89,219,130,24,106
2022-10-22,72,142,70,17,53
2022-10-23,48,98,50,12,38
2022-10-24,107,293,186,40,146
2022-10-25,106,236,130,27,103
2022-10-26,120,263,143,30,113
2022-10-27,129,269,140,33,107
2022-10-28,118,296,178,35,143
2022-10-29,55,137,82,22,60
2022-10-30,42,88,46,17,29
2022-10-31,121,303,182,38,144
2022-11-01,115,247,132,38,94
2022-11-02,154,302,148,40,108
2022-11-03,120,271,151,42,109
2022-11-04,139,290,151,36,115
2022-11-05,72,155,83,23,60
2022-11-06,51,116,65,13,52
2022-11-07,117,295,178,40,138
2022-11-08,113,258,145,30,115
2022-11-09,136,278,142,27,115
2022-11-10,138,288,150,31,119
2022-11-11,121,287,166,40,126
2022-11-12,86,186,100,23,77
2022-11-13,58,119,61,18,43
2022-11-14,98,259,161,33,128
2022-11-15,104,215,111,16,95
2022-11-16,121,275,154,37,117
2022-11-17,85,243,158,30,128
2022-11-18,90,245,155,34,121
2022-11-19,68,141,73,18,55
2022-11-20,60,102,42,16,26
2022-11-21,130,295,165,32,133
2022-11-22,129,287,158,43,115
2022-11-23,123,303,180,41,139
2022-11-24,114,273,159,39,120
2022-11-25,105,265,160,33,127
2022-11-26,60,123,63,21,42
2022-11-27,72,144,72,15,57
2022-11-28,151,366,215,43,172
2022-11-29,151,322,171,40,131
2022-11-30,158,328,170,34,136
2022-12-01,118,267,149,34,115
